Neighbourhood;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Amenities;Square Feet;Price;Weekly Price;Monthly Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Has Availability;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count;Reviews per Month;Geolocation
;Madrid;28005;Spain;40.40838639662764;-3.7095071896338743;Apartment;Entire home/apt;5;1.0;2.0;3.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Pets live on this property,Cat(s),Family/kid friendly,Washer,Essentials,Shampoo;;115.0;;;;10.0;5;15;1;1125;;23;53;83;358;2;80.0;8.0;7.0;9.0;10.0;10.0;8.0;flexible;3.0;0.19;40.4083863966,-3.70950718963
Recoletos;Madrid;28001;Spain;40.42265167543889;-3.685306699394012;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,translation missing: en.hosting_amenity_50;;70.0;;;;20.0;2;30;2;20;;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;0.12;40.4226516754,-3.68530669939
Malasaña;Madrid;28013;Spain;40.42173583144259;-3.705462795299302;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Pool,Kitchen,Doorman,Gym,Elevator in building,Heating,Washer,Dryer,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;150.0;;;;72.0;2;17;3;1125;;3;3;3;3;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;strict;77.0;0.19;40.4217358314,-3.7054627953
Ibiza;Madrid;28009;Spain;40.418279115288435;-3.677007346954595;Apartment;Entire home/apt;5;1.0;1.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;90.0;539.0;1529.0;200.0;;4;10;2;1125;;5;15;24;285;5;84.0;7.0;9.0;9.0;10.0;10.0;8.0;strict;10.0;0.21;40.4182791153,-3.67700734695
Cortes;Madrid;28012;Spain;40.41340965785846;-3.6992211345772192;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;29.0;180.0;600.0;;;1;0;3;4;;21;51;81;356;20;94.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;4.0;1.09;40.4134096579,-3.69922113458
;Madrid;28012;Spain;40.4108914723542;-3.708407012340279;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;25.0;;;;15.0;1;5;10;1125;;0;6;36;311;0;;;;;;;;strict;97.0;;40.4108914724,-3.70840701234
;Madrid;28015;Spain;40.432213567564695;-3.7136486761768865;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;60.0;;;100.0;40.0;1;0;3;1125;;5;31;57;332;10;86.0;8.0;8.0;10.0;10.0;9.0;8.0;moderate;6.0;2.52;40.4322135676,-3.71364867618
;Madrid;28023;Spain;40.45511864709827;-3.766312998747759;Condominium;Entire home/apt;3;1.0;1.0;3.0;Real Bed;TV,Internet,Wireless Internet,Pool,Kitchen,Free parking on premises,Doorman,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Iron,Laptop friendly workspace,Private entrance;;50.0;;;;40.0;1;15;5;1125;;4;34;52;326;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.0;0.3;40.4551186471,-3.76631299875
;Madrid;28005;Spain;40.410769150400434;-3.713337230664398;Apartment;Entire home/apt;8;1.5;1.0;5.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Indoor fireplace,Buzzer/wireless intercom,Heating,Family/kid friendly,Suitable for events,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;150.0;;2500.0;350.0;50.0;2;15;3;1125;;16;46;76;351;28;96.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;3.0;1.15;40.4107691504,-3.71333723066
Justicia;Madrid;28004;Spain;40.421821712285144;-3.696945552545705;Apartment;Entire home/apt;4;1.0;2.0;3.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;;;150.0;49.0;2;15;2;1125;;2;7;8;200;8;89.0;9.0;9.0;9.0;9.0;9.0;9.0;moderate;12.0;0.63;40.4218217123,-3.69694555255
Fuente del Berro;Madrid;28028;Spain;40.42257845273355;-3.6627460509909415;House;Private room;4;2.5;1.0;3.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Smoking allowed,Gym,Breakfast,Pets live on this property,Dog(s),Buzzer/wireless intercom,Heating,Suitable for events,Washer,Dryer;2691.0;25.0;150.0;600.0;;;1;15;2;365;;3;28;58;333;21;94.0;9.0;9.0;10.0;9.0;9.0;10.0;moderate;1.0;0.5;40.4225784527,-3.66274605099
Justicia;Madrid;28004;Spain;40.419791835735026;-3.6987866621594794;Other;Private room;2;1.0;1.0;2.0;Real Bed;TV,Wireless Internet,Air conditioning,Pets allowed,Elevator in building,Heating,Family/kid friendly,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Laptop friendly workspace;;65.0;;;;;1;20;2;1125;;16;36;53;324;3;80.0;8.0;10.0;10.0;9.0;10.0;7.0;moderate;2.0;0.43;40.4197918357,-3.69878666216
La Latina;Madrid;28012;Spain;40.410093156609186;-3.7062161821453814;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials;;55.0;;;;20.0;1;0;2;1125;;2;27;54;329;27;84.0;9.0;8.0;9.0;9.0;10.0;8.0;moderate;2.0;2.2;40.4100931566,-3.70621618215
Malasaña;Madrid;28004;Spain;40.423906023903314;-3.704924688042494;Apartment;Private room;2;2.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Doorman,Elevator in building,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;30.0;;;;;1;0;2;1125;;9;9;9;9;4;80.0;9.0;8.0;10.0;10.0;9.0;9.0;flexible;1.0;0.32;40.4239060239,-3.70492468804
Puente de Vallecas;Madrid;28038;Spain;40.400641495226175;-3.665382792749369;Apartment;Entire home/apt;6;1.0;3.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;65.0;;;;20.0;5;8;1;1125;;16;35;54;285;20;94.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;1.0;6.0;40.4006414952,-3.66538279275
Sol;Madrid;28013;Spain;40.41879850851063;-3.700062426483642;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;68.0;440.0;1400.0;120.0;40.0;2;13;3;365;;6;17;41;316;43;92.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;9.0;1.03;40.4187985085,-3.70006242648
Almagro;Madrid;28010;Spain;40.4327659825804;-3.6949953106397815;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;29.0;;;100.0;10.0;1;0;2;20;;25;55;85;360;7;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;0.93;40.4327659826,-3.69499531064
Sol;Madrid;28013;Spain;40.419338635052334;-3.701815167870969;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Family/kid friendly,Essentials,translation missing: en.hosting_amenity_50;;35.0;540.0;1730.0;90.0;25.0;3;10;2;1125;;9;29;46;321;76;76.0;7.0;8.0;8.0;8.0;10.0;8.0;strict;9.0;3.17;40.4193386351,-3.70181516787
Usera;Madrid;28026;Spain;40.38438710516965;-3.70337981086943;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;79.0;;;;15.0;1;0;3;1125;;22;52;79;166;4;80.0;9.0;7.0;9.0;10.0;8.0;8.0;moderate;2.0;0.97;40.3843871052,-3.70337981087
Retiro;Madrid;;Spain;40.419178378873035;-3.6742175687382423;Apartment;Entire home/apt;3;2.0;2.0;2.0;Real Bed;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49;;120.0;750.0;1645.0;301.0;40.0;3;40;3;365;;0;0;0;253;14;89.0;9.0;9.0;10.0;9.0;10.0;9.0;moderate;2.0;0.41;40.4191783789,-3.67421756874
Chamberí;Madrid;28010;Spain;40.42966880106001;-3.701336249412207;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Hot tub,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;86.0;560.0;1350.0;250.0;15.0;2;5;3;700;;3;3;10;271;96;90.0;9.0;10.0;9.0;10.0;10.0;9.0;strict;9.0;2.21;40.4296688011,-3.70133624941
;Madrid;28033;Spain;40.470855471734225;-3.637006546292225;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Wireless Internet,Air conditioning,Wheelchair accessible,Elevator in building,Heating,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;23.0;;;;;1;0;1;7;;16;39;68;343;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;9.0;1.0;40.4708554717,-3.63700654629
Guindalera;Madrid;28028;Spain;40.43153041484636;-3.664752150940404;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,Hangers,Laptop friendly workspace;;24.0;;;;;1;0;1;1125;;6;35;65;340;0;;;;;;;;strict;14.0;;40.4315304148,-3.66475215094
;Madrid;;Spain;40.42511569466652;-3.699975279554948;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;TV,Internet,Air conditioning,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials;;45.0;;;;25.0;1;0;2;1125;;15;36;63;272;2;80.0;8.0;10.0;9.0;10.0;10.0;9.0;strict;9.0;0.18;40.4251156947,-3.69997527955
;Madrid;28004;Spain;40.4213716365227;-3.7029455711501913;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;39.0;;;200.0;20.0;2;15;2;1125;;6;22;45;191;73;87.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;4.0;3.72;40.4213716365,-3.70294557115
La Latina;Madrid;28012;Spain;40.413353728677706;-3.706282926146365;Apartment;Private room;1;1.5;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Elevator in building,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;30.0;;;;20.0;1;0;20;180;;0;0;20;295;0;;;;;;;;flexible;4.0;;40.4133537287,-3.70628292615
;Madrid;28050;Spain;40.50458373162416;-3.6569154363488714;Apartment;Private room;2;0.5;1.0;2.0;Real Bed;Wireless Internet,Pool,Kitchen,Doorman,Elevator in building,translation missing: en.hosting_amenity_50;;19.0;;;100.0;20.0;1;6;2;1125;;26;48;48;299;15;68.0;7.0;7.0;8.0;9.0;8.0;7.0;strict;2.0;0.39;40.5045837316,-3.65691543635
;Madrid;28042;Spain;40.47164215404663;-3.584197464412314;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Free parking on premises,Heating,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;45.0;;;200.0;;1;0;1;1125;;0;8;38;38;0;;;;;;;;strict;2.0;;40.471642154,-3.58419746441
Ciudad Lineal;Madrid;28043;Spain;40.457120168361875;-3.6556929478412856;Apartment;Entire home/apt;4;1.0;0.0;2.0;Pull-out Sofa;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials;;50.0;390.0;1500.0;90.0;30.0;2;10;3;90;;14;43;49;50;81;85.0;9.0;8.0;9.0;9.0;9.0;9.0;moderate;1.0;1.93;40.4571201684,-3.65569294784
;Madrid;28013;Spain;40.41558116625501;-3.711708062741174;Hostel;Shared room;16;3.0;1.0;10.0;Real Bed;Wireless Internet,Air conditioning,Kitchen,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Lock on bedroom door,Hair dryer,Iron;;16.0;;;;;1;17;1;1125;;17;40;68;343;2;80.0;8.0;10.0;10.0;10.0;10.0;10.0;moderate;6.0;0.97;40.4155811663,-3.71170806274
Sol;Madrid;28013;Spain;40.41737676916779;-3.7013645212345776;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Breakfast,Heating,Hair dryer,Iron,Laptop friendly workspace;;42.0;;;;;2;15;1;1125;;16;46;76;345;30;88.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;6.0;0.54;40.4173767692,-3.70136452123
Hortaleza;Madrid;28042;Spain;40.452245687292795;-3.606541351270956;House;Entire home/apt;8;3.5;4.0;4.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Doorman,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;281.0;;6565.0;469.0;94.0;1;0;5;1125;;27;40;55;330;2;100.0;10.0;9.0;9.0;10.0;8.0;10.0;moderate;1.0;0.1;40.4522456873,-3.60654135127
Chamberí;Madrid;28010;Spain;40.42943282984926;-3.7018747725269714;Apartment;Entire home/apt;5;1.0;2.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,First aid kit,Essentials,Shampoo,Hangers,Iron;;90.0;;;100.0;30.0;4;15;1;1125;;11;30;53;322;14;91.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;4.0;2.4;40.4294328298,-3.70187477253
La Latina;Madrid;28005;Spain;40.41140437566001;-3.711144479897196;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,Private entrance;;45.0;;;;30.0;1;0;2;1125;;6;20;45;135;9;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;5.63;40.4114043757,-3.7111444799
Sol;Madrid;;Spain;40.41745043904952;-3.704388732061683;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo;;65.0;400.0;1000.0;;;1;0;1;1125;;0;30;60;335;4;100.0;9.0;10.0;10.0;10.0;10.0;9.0;flexible;2.0;0.13;40.417450439,-3.70438873206
Justicia;Madrid;28004;Spain;40.4234776730976;-3.6917698090041746;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;200.0;;;;50.0;1;0;2;1125;;0;0;2;93;6;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;1.03;40.4234776731,-3.691769809
Malasaña;Madrid;28004;Spain;40.426112040164384;-3.70367440032827;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;Kitchen,Breakfast,Buzzer/wireless intercom,Heating,Washer,Safety card,Essentials,Shampoo,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;80.0;;;100.0;20.0;1;0;2;4;;0;0;0;0;0;;;;;;;;flexible;1.0;;40.4261120402,-3.70367440033
Jerónimos;Madrid;28014;Spain;40.40752476745164;-3.684377901735347;Apartment;Entire home/apt;4;2.0;3.0;3.0;Real Bed;TV,Internet,Wireless Internet,Wheelchair accessible,Kitchen,Smoking allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer;;200.0;400.0;1200.0;;;1;0;1;1125;;0;0;0;0;0;;;;;;;;moderate;1.0;;40.4075247675,-3.68437790174
Cortes;Madrid;28014;Spain;40.4123398337398;-3.69793531520557;Apartment;Entire home/apt;2;1.0;0.0;1.0;Airbed;TV,Wireless Internet,Kitchen,Doorman,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private entrance;;50.0;;;300.0;30.0;1;0;2;30;;16;46;76;254;7;100.0;10.0;9.0;10.0;9.0;10.0;10.0;strict;1.0;1.76;40.4123398337,-3.69793531521
Embajadores;Madrid;28012;Spain;40.409650084378264;-3.701815545809726;House;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets live on this property,Heating,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49;;24.0;;;;5.0;1;0;1;10;;0;0;0;128;0;;;;;;;;flexible;1.0;;40.4096500844,-3.70181554581
Moratalaz;Madrid;28030;Spain;40.40240661959204;-3.6474779777956927;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;TV,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo;;40.0;250.0;750.0;200.0;30.0;1;0;3;1125;;0;2;32;307;0;;;;;;;;strict;4.0;;40.4024066196,-3.6474779778
Cortes;Madrid;28014;Spain;40.41209215740161;-3.6967474642230767;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Breakfast,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hair dryer,Iron,Laptop friendly workspace;;82.0;;;;15.0;2;15;1;1125;;2;8;21;269;14;100.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.0;3.0;40.4120921574,-3.69674746422
Goya;Madrid;28006;Spain;40.42817317240725;-3.673787775677325;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private living room;;79.0;;;100.0;40.0;1;15;1;28;;13;20;41;126;13;88.0;9.0;9.0;9.0;10.0;10.0;9.0;moderate;48.0;2.44;40.4281731724,-3.67378777568
Puente de Vallecas;Madrid;28038;Spain;40.40134750425835;-3.664228535526264;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;Internet,Wireless Internet,Kitchen,Smoking allowed,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;25.0;;;;;1;0;2;9;;9;30;55;274;55;93.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;2.0;2.44;40.4013475043,-3.66422853553
